T,V,
-0.0992,-0.004,0
-0.0991,0,0
-0.099,0.004,0
-0.0989,0,0
-0.0988,0.004,0.2
-0.0987,0.012,0
-0.0986,-0.004,0
-0.0985,-0.02,0
-0.0984,-0.028,0
-0.0983,0.004,0
-0.0982,-0.004,0
-0.0981,0.02,0
-0.098,-0.004,0
-0.0979,-0.004,0
-0.0978,0.02,0
-0.0977,-0.004,0
-0.0976,-0.024,0
-0.0975,-0.008,0
-0.0974,-0.004,0
-0.0973,0.012,0
-0.0972,0,0
-0.0971,-0.024,0
-0.097,-0.004,0.2
-0.0969,-0.012,0
-0.0968,0.004,0.2
-0.0967,-0.012,0
-0.0966,-0.024,0
-0.0965,0.016,0
-0.0964,0.012,0
-0.0963,-0.012,0
-0.0962,-0.028,0
-0.0961,0,0
-0.096,0.012,0
-0.0959,-0.012,0
-0.0958,-0.012,0
-0.0957,-0.008,0.2
-0.0956,0.012,0
-0.0955,0.028,0
-0.0954,0.008,0
-0.0953,-0.032,0
-0.0952,-0.012,0
-0.0951,-0.008,0
-0.095,-0.008,0
-0.0949,0.008,0.2
-0.0948,0.012,0
-0.0947,-0.012,0
-0.0946,-0.02,0.2
-0.0945,0.016,0
-0.0944,0.024,0
-0.0943,0.004,0
-0.0942,-0.004,0
-0.0941,-0.012,0
-0.094,-0.004,0
-0.0939,-0.008,0
-0.0938,-0.016,0
-0.0937,-0.004,0
-0.0936,-0.016,0
-0.0935,0.004,0
-0.0934,0.012,0
-0.0933,-0.008,0
-0.0932,-0.016,0
-0.0931,0,0
-0.093,0,0
-0.0929,0.008,0
-0.0928,0.008,0
-0.0927,-0.008,0
-0.0926,-0.016,0
-0.0925,-0.004,0
-0.0924,-0.016,0
-0.0923,-0.008,0
-0.0922,-0.02,0
-0.0921,0,0.2
-0.092,0.008,0
-0.0919,0.008,0
-0.0918,-0.02,0
-0.0917,-0.016,0.2
-0.0916,-0.008,0
-0.0915,-0.016,0
-0.0914,0,-0.2
-0.0913,0.012,0
-0.0912,0,0
-0.0911,-0.008,0
-0.091,-0.004,0
-0.0909,-0.008,0
-0.0908,0,0
-0.0907,-0.008,0
-0.0906,-0.012,0
-0.0905,0.028,0
-0.0904,-0.004,0
-0.0903,-0.004,0
-0.0902,0.004,0
-0.0901,-0.016,0
-0.09,0.004,0
-0.0899,-0.024,0
-0.0898,-0.004,0
-0.0897,0,0
-0.0896,0.008,0
-0.0895,0.016,0
-0.0894,0.008,0
-0.0893,-0.004,0
-0.0892,0.012,0.2
-0.0891,-0.016,0
-0.089,0.012,0
-0.0889,-0.024,0
-0.0888,0.024,0
-0.0887,-0.016,0
-0.0886,0,0
-0.0885,-0.012,0
-0.0884,-0.016,0
-0.0883,-0.032,0.2
-0.0882,0,0
-0.0881,-0.012,0
-0.088,-0.008,0
-0.0879,0.012,0
-0.0878,-0.008,0
-0.0877,-0.012,0.2
-0.0876,0.02,0
-0.0875,0.02,0
-0.0874,-0.02,0
-0.0873,0,0
-0.0872,0.012,0
-0.0871,0.032,0
-0.087,0.016,0.2
-0.0869,-0.016,0
-0.0868,0.004,0.2
-0.0867,0.028,0
-0.0866,0.016,0
-0.0865,-0.016,0
-0.0864,0,-0.2
-0.0863,0.032,0
-0.0862,-0.012,0
-0.0861,0,0
-0.086,-0.012,0
-0.0859,-0.012,0
-0.0858,0.012,0
-0.0857,0.012,0
-0.0856,-0.028,0
-0.0855,0.008,0
-0.0854,-0.024,0
-0.0853,-0.02,0
-0.0852,-0.008,0
-0.0851,0,0
-0.085,-0.008,0
-0.0849,0.008,0
-0.0848,-0.004,0
-0.0847,0,0
-0.0846,0.004,0.2
-0.0845,-0.008,0
-0.0844,-0.02,0
-0.0843,-0.004,0
-0.0842,-0.02,0
-0.0841,-0.004,0
-0.084,0.008,0
-0.0839,-0.012,0
-0.0838,0.016,0
-0.0837,-0.004,0
-0.0836,0.02,0
-0.0835,-0.028,0
-0.0834,-0.02,0
-0.0833,-0.008,0
-0.0832,0.008,0
-0.0831,0,0
-0.083,-0.016,0
-0.0829,-0.004,0
-0.0828,0,0
-0.0827,-0.012,0
-0.0826,-0.024,0
-0.0825,-0.012,0
-0.0824,0,0
-0.0823,0.012,0
-0.0822,-0.004,0
-0.0821,-0.008,0
-0.082,-0.004,0
-0.0819,0.02,0
-0.0818,-0.008,0
-0.0817,0.008,0
-0.0816,0.008,0
-0.0815,-0.02,0
-0.0814,-0.004,0
-0.0813,-0.008,0
-0.0812,0.012,0
-0.0811,-0.012,0
-0.081,-0.012,0.2
-0.0809,0.016,0
-0.0808,0.012,0
-0.0807,-0.004,0
-0.0806,-0.028,0
-0.0805,0.024,0
-0.0804,0.004,0
-0.0803,0.004,0.2
-0.0802,0.012,0
-0.0801,-0.008,0
-0.08,-0.02,0
-0.0799,-0.008,0
-0.0798,-0.016,0
-0.0797,0.008,0
-0.0796,-0.012,0
-0.0795,0,0
-0.0794,-0.004,0
-0.0793,0,0
-0.0792,-0.004,0
-0.0791,0.028,0.2
-0.079,0.008,0
-0.0789,0,0
-0.0788,-0.024,0
-0.0787,0.008,0
-0.0786,0.008,0
-0.0785,0.008,0
-0.0784,0.024,0
-0.0783,0.024,0
-0.0782,-0.008,0
-0.0781,-0.024,0
-0.078,-0.012,0
-0.0779,0.02,0
-0.0778,-0.008,0
-0.0777,-0.012,0
-0.0776,0,0
-0.0775,0.036,0
-0.0774,0.04,0
-0.0773,0.016,0
-0.0772,0.008,0
-0.0771,0.024,0.2
-0.077,0.02,0
-0.0769,0.012,0
-0.0768,-0.008,0
-0.0767,0.004,0.2
-0.0766,0.016,0
-0.0765,-0.004,0
-0.0764,-0.024,0
-0.0763,0.008,0
-0.0762,0.02,0
-0.0761,0,0
-0.076,-0.024,0
-0.0759,-0.008,0
-0.0758,-0.012,0
-0.0757,0.012,0
-0.0756,0.004,0
-0.0755,-0.016,0
-0.0754,0.02,0.2
-0.0753,0.016,0
-0.0752,-0.004,0
-0.0751,-0.008,0
-0.075,0.012,0
-0.0749,-0.004,0
-0.0748,0.028,0
-0.0747,0.008,0
-0.0746,0,0
-0.0745,-0.012,0
-0.0744,0.004,0
-0.0743,-0.016,0
-0.0742,-0.004,-0.2
-0.0741,-0.016,0
-0.074,-0.004,0
-0.0739,0.008,0
-0.0738,0.008,0
-0.0737,-0.016,0
-0.0736,0.02,0
-0.0735,-0.008,0
-0.0734,0.012,0
-0.0733,-0.004,0
-0.0732,-0.012,0
-0.0731,0.012,0
-0.073,-0.016,0
-0.0729,0.02,0
-0.0728,0,0
-0.0727,-0.004,0
-0.0726,-0.004,0
-0.0725,0,0
-0.0724,0,0
-0.0723,0.012,0
-0.0722,0,0
-0.0721,-0.008,0
-0.072,0.004,0
-0.0719,0.004,0
-0.0718,0.004,0
-0.0717,-0.008,0
-0.0716,-0.012,0
-0.0715,-0.008,0
-0.0714,-0.008,-0.2
-0.0713,0.016,0
-0.0712,-0.004,0
-0.0711,-0.008,0
-0.071,0.008,0
-0.0709,-0.008,0
-0.0708,-0.02,0
-0.0707,0.008,0
-0.0706,0.012,0
-0.0705,0.028,0
-0.0704,-0.008,0
-0.0703,0.004,0
-0.0702,-0.012,0.2
-0.0701,0,0
-0.07,0.012,0
-0.0699,-0.012,0
-0.0698,0.016,0
