Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0.002156,2.028000,2.532000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002192,1.970000,2.478000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002228,1.921000,2.424000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002268,1.906000,2.366000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002304,1.911000,2.312000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002340,1.945000,2.258000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002376,1.999000,2.204000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002416,2.077000,2.155000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002452,2.175000,2.111000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002488,2.278000,2.067000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002524,2.390000,2.028000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002564,2.502000,1.994000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002600,2.605000,1.960000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002636,2.693000,1.940000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002672,2.776000,1.921000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002712,2.830000,1.911000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002748,2.859000,1.906000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002784,2.869000,1.911000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002820,2.845000,1.911000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002860,2.801000,1.935000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002896,2.732000,1.950000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002932,2.644000,1.979000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002968,2.546000,2.014000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003008,2.434000,2.048000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003048,2.307000,2.097000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003088,2.199000,2.146000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003124,2.102000,2.195000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003160,2.023000,2.248000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003196,1.955000,2.307000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003236,1.911000,2.361000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003272,1.906000,2.414000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003308,1.911000,2.468000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003344,1.950000,2.522000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003384,2.014000,2.576000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003420,2.092000,2.625000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003456,2.190000,2.674000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003492,2.297000,2.717000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003532,2.405000,2.757000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003568,2.517000,2.791000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003604,2.620000,2.820000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003640,2.713000,2.845000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003680,2.781000,2.859000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003716,2.835000,2.869000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003752,2.859000,2.874000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003788,2.864000,2.869000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003828,2.845000,2.854000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003864,2.791000,2.840000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003900,2.722000,2.810000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003936,2.634000,2.791000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003976,2.532000,2.757000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004012,2.424000,2.717000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004056,2.307000,2.664000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004092,2.185000,2.620000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004128,2.092000,2.571000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004168,2.014000,2.517000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004204,1.950000,2.463000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004240,1.911000,2.405000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004276,1.906000,2.351000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004316,1.916000,2.297000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004352,1.960000,2.243000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004388,2.023000,2.190000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004424,2.107000,2.141000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004464,2.204000,2.092000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004500,2.312000,2.053000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004536,2.424000,2.014000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004572,2.532000,1.984000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004612,2.634000,1.955000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004648,2.722000,1.935000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004684,2.796000,1.916000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004720,2.845000,1.911000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004760,2.869000,1.906000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004796,2.859000,1.911000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004832,2.835000,1.921000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000040,1.994000,2.209000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000076,2.067000,2.155000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000112,2.155000,2.111000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000152,2.263000,2.067000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000188,2.370000,2.028000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000224,2.483000,1.994000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000260,2.586000,1.965000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000300,2.683000,1.945000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000336,2.766000,1.921000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000372,2.820000,1.911000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000408,2.854000,1.906000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000448,2.869000,1.911000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000484,2.849000,1.911000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000520,2.810000,1.931000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000556,2.742000,1.950000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000596,2.654000,1.975000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000632,2.561000,2.009000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000668,2.454000,2.043000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000704,2.341000,2.087000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000744,2.229000,2.126000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000780,2.131000,2.180000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000824,2.043000,2.229000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000860,1.965000,2.292000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000896,1.921000,2.346000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000932,1.906000,2.405000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000972,1.911000,2.463000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001008,1.945000,2.512000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001044,1.999000,2.561000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001080,2.072000,2.620000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001120,2.170000,2.664000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001156,2.273000,2.703000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001192,2.380000,2.742000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001228,2.498000,2.781000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001268,2.595000,2.810000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001304,2.693000,2.830000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001340,2.771000,2.849000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001376,2.830000,2.859000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001416,2.859000,2.869000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001452,2.864000,2.869000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001488,2.849000,2.859000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001524,2.801000,2.845000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001564,2.737000,2.820000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001600,2.649000,2.796000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001636,2.546000,2.766000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001672,2.439000,2.727000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001712,2.326000,2.683000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001748,2.224000,2.639000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001784,2.121000,2.586000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001820,2.033000,2.537000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001864,1.970000,2.473000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001900,1.916000,2.419000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001936,1.906000,2.361000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001976,1.911000,2.307000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002012,1.950000,2.248000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002048,2.009000,2.199000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002084,2.087000,2.151000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002124,2.180000,2.102000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002160,2.283000,2.058000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002196,2.400000,2.019000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002232,2.507000,1.984000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002272,2.615000,1.955000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002308,2.703000,1.935000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002344,2.776000,1.916000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002380,2.830000,1.911000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002420,2.859000,1.906000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002456,2.864000,1.911000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002492,2.845000,1.916000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002528,2.796000,1.935000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002568,2.727000,1.955000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002604,2.639000,1.984000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002640,2.537000,2.019000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002676,2.429000,2.053000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002716,2.317000,2.102000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002752,2.209000,2.146000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002788,2.111000,2.195000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002824,2.028000,2.248000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002864,1.965000,2.302000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002904,1.911000,2.366000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002944,1.906000,2.419000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002980,1.916000,2.478000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003016,1.950000,2.527000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003052,2.014000,2.576000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003092,2.102000,2.630000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003128,2.195000,2.674000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003164,2.302000,2.717000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003200,2.414000,2.757000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003240,2.522000,2.791000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003276,2.625000,2.815000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003312,2.717000,2.845000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003348,2.786000,2.854000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003388,2.835000,2.869000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003424,2.864000,2.874000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003460,2.864000,2.869000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003496,2.835000,2.854000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003536,2.791000,2.840000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003572,2.717000,2.820000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003608,2.625000,2.791000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003644,2.522000,2.752000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003684,2.414000,2.717000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003720,2.307000,2.674000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003756,2.195000,2.625000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003792,2.102000,2.576000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003832,2.019000,2.522000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003868,1.955000,2.463000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003912,1.916000,2.405000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003948,1.906000,2.346000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.003984,1.921000,2.287000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004024,1.965000,2.234000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004060,2.028000,2.185000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004096,2.111000,2.136000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004132,2.209000,2.092000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004172,2.322000,2.048000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004208,2.429000,2.009000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004244,2.537000,1.975000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004280,2.639000,1.950000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004320,2.727000,1.931000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004356,2.796000,1.911000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004392,2.845000,1.906000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004428,2.864000,1.906000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004468,2.859000,1.911000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004504,2.830000,1.921000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004540,2.776000,1.940000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004576,2.703000,1.960000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004616,2.610000,1.994000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004652,2.502000,2.028000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004688,2.400000,2.067000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004724,2.283000,2.111000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004764,2.180000,2.155000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004800,2.087000,2.209000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.004836,2.009000,2.263000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
