Tiempo,CH1(V),CH2(V),N/a1,N/a2,N/a3,N/a4,N/a5
0.002332,2.717000,2.674000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.002372,2.786000,2.742000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.002408,2.830000,2.791000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.002444,2.849000,2.810000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.002480,2.845000,2.805000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.002520,2.810000,2.776000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.002556,2.747000,2.727000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.002592,2.674000,2.654000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.002628,2.576000,2.561000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.002668,2.468000,2.463000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.002708,2.346000,2.346000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.002748,2.224000,2.234000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.002784,2.126000,2.126000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.002820,2.038000,2.038000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.002856,1.965000,1.960000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.002896,1.911000,1.911000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.002932,1.882000,1.877000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.002968,1.882000,1.877000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003004,1.911000,1.891000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003044,1.955000,1.935000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003080,2.028000,1.999000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003116,2.116000,2.087000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003152,2.219000,2.185000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003192,2.326000,2.287000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003228,2.439000,2.400000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003264,2.546000,2.502000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003300,2.649000,2.600000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003340,2.732000,2.683000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003376,2.796000,2.752000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003412,2.830000,2.796000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003448,2.849000,2.810000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003488,2.835000,2.805000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003524,2.801000,2.776000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003560,2.737000,2.717000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003596,2.654000,2.644000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003636,2.566000,2.551000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003672,2.458000,2.449000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003716,2.346000,2.326000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003752,2.219000,2.224000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003788,2.116000,2.116000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003824,2.028000,2.028000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003864,1.955000,1.950000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003900,1.906000,1.906000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003936,1.882000,1.877000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.003972,1.887000,1.877000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.004012,1.911000,1.896000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.004048,1.965000,1.945000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.004084,2.038000,2.014000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.004120,2.126000,2.102000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.004160,2.234000,2.199000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.004196,2.346000,2.307000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.004232,2.454000,2.414000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.004268,2.561000,2.517000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.004308,2.654000,2.615000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.004344,2.737000,2.693000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.004380,2.796000,2.757000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.004416,2.835000,2.796000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.004456,2.849000,2.810000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.004492,2.830000,2.801000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.004528,2.796000,2.766000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.004564,2.732000,2.708000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.004604,2.649000,2.630000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
